threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.8,13,18332,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1035,1.0107421875,,,0,0,,,True
0.8,14,1003,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,999,0.9755859375,,,0,0,,,True
0.8,15,22156,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1027,1.0029296875,,,0,0,,,True
0.8,16,26453,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,934,0.912109375,,,0,0,,,True
0.8,17,17039,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,884,0.86328125,,,0,0,,,True
0.8,18,7166,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1020,0.99609375,,,0,0,,,True
0.8,19,48310,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,998,0.974609375,,,0,0,,,True
0.9,0,712,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,994,0.970703125,,,0,0,,,True
0.9,1,24774,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1035,1.0107421875,,,0,0,,,True
0.9,2,45142,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,968,0.9453125,,,0,0,,,True
0.9,3,27119,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,796,0.77734375,,,0,0,,,True
0.9,4,21139,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,984,0.9609375,,,0,0,,,True
0.9,5,19129,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1032,1.0078125,,,0,0,,,True
0.9,6,6433,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,884,0.86328125,,,0,0,,,True
0.9,7,38854,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1007,0.9833984375,,,0,0,,,True
0.9,8,22489,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,998,0.974609375,,,0,0,,,True
